Player's Name,Player's State,Total Number of Points,Player's Pre-Rating,Average Pre Tournament Chess Rating of Opponents
GARY HUA,ON,6.0,1794,1573.142857142857
DAKSHESH DARURI,MI,6.0,1553,1524.5714285714287
